EVENT,VALUE,VALUE_IDX,ENCODING
Tempo,117.50,27,289
Position,34,34,227
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,7,7,166
Position,44,44,237
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,52,52,245
Note-Velocity,24,24,152
Note-On,79,79,79
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,117.50,27,289
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,3,3,196
Note-Velocity,18,18,146
Note-On,76,76,76
Note-Duration,9,9,168
Position,12,12,205
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,2,2,259
Tempo,112.50,25,287
Position,19,19,212
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,2,2,259
Tempo,120.00,28,290
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,33,33,226
Note-Velocity,25,25,153
Note-On,77,77,77
Note-Duration,10,10,169
Position,43,43,236
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,51,51,244
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,117.50,27,289
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,3,3,196
Note-Velocity,24,24,152
Note-On,76,76,76
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,20,20,213
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,9,9,168
Position,30,30,223
Note-Velocity,17,17,145
Note-On,67,67,67
Note-Duration,16,16,175
Position,32,32,225
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,48,48,241
Tempo-Class,2,2,259
Tempo,117.50,27,289
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,32,32,225
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,36,36,229
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,7,7,166
Position,43,43,236
Note-Velocity,17,17,145
Note-On,70,70,70
Note-Duration,3,3,162
Position,47,47,240
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,50,50,243
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,8,8,167
Position,58,58,251
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,122.50,29,291
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,3,3,196
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,2,2,259
Tempo,117.50,27,289
Position,18,18,211
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,11,11,170
Position,30,30,223
Note-Velocity,24,24,152
Note-On,76,76,76
Note-Duration,15,15,174
Position,32,32,225
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,48,48,241
Tempo-Class,2,2,259
Tempo,125.00,30,292
Position,49,49,242
Note-Velocity,23,23,151
Note-On,72,72,72
Note-Duration,10,10,169
Position,60,60,253
Note-Velocity,18,18,146
Note-On,70,70,70
Note-Duration,15,15,174
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,122.50,29,291
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,32,32,225
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,35,35,228
Note-Velocity,24,24,152
Note-On,81,81,81
Note-Duration,8,8,167
Position,43,43,236
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,51,51,244
Note-Velocity,23,23,151
Note-On,76,76,76
Note-Duration,7,7,166
Position,59,59,252
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,127.50,31,293
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,21,21,214
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,8,8,167
Position,30,30,223
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,2,2,259
Tempo,117.50,27,289
Position,37,37,230
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,8,8,167
Position,45,45,238
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,52,52,245
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,6,6,199
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,19,19,212
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,8,8,167
Position,28,28,221
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,2,2,259
Tempo,125.00,30,292
Position,37,37,230
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,117.50,27,289
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,9,9,202
Note-Velocity,17,17,145
Note-On,63,63,63
Note-Duration,3,3,162
Position,12,12,205
Note-Velocity,20,20,148
Note-On,64,64,64
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,20,20,213
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,7,7,166
Position,29,29,222
Note-Velocity,21,21,149
Note-On,66,66,66
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,36,36,229
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,6,6,165
Position,42,42,235
Note-Velocity,23,23,151
Note-On,72,72,72
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,2,2,259
Tempo,122.50,29,291
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,120.00,28,290
Chord-Tone,E,4,326
Chord-Type,-7,None,357
Chord-Slash,E,4,338
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,32,32,225
Tempo-Class,2,2,259
Tempo,117.50,27,289
Chord-Tone,A,9,331
Chord-Type,7,None,368
Chord-Slash,A,9,343
Position,48,48,241
Tempo-Class,2,2,259
Tempo,120.00,28,290
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,122.50,29,291
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,6,6,199
Note-Velocity,25,25,153
Note-On,73,73,73
Note-Duration,7,7,166
Position,13,13,206
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,21,21,214
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,6,6,165
Position,27,27,220
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,34,34,227
Note-Velocity,22,22,150
Note-On,64,64,64
Note-Duration,8,8,167
Position,43,43,236
Note-Velocity,18,18,146
Note-On,61,61,61
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,2,2,259
Tempo,125.00,30,292
Position,53,53,246
Note-Velocity,22,22,150
Note-On,64,64,64
Note-Duration,7,7,166
Position,61,61,254
Note-Velocity,19,19,147
Note-On,61,61,61
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,122.50,29,291
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,3,3,196
Note-Velocity,16,16,144
Note-On,62,62,62
Note-Duration,7,7,166
Position,11,11,204
Note-Velocity,22,22,150
Note-On,64,64,64
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,19,19,212
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,6,6,165
Position,25,25,218
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,2,2,259
Tempo,117.50,27,289
Position,33,33,226
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,8,8,167
Position,42,42,235
Note-Velocity,22,22,150
Note-On,71,71,71
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,50,50,243
Note-Velocity,24,24,152
Note-On,72,72,72
Note-Duration,4,4,163
Position,54,54,247
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,22,22,181
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,125.00,30,292
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,15,15,208
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,31,31,224
Note-Velocity,20,20,148
Note-On,69,69,69
Note-Duration,26,26,185
Position,32,32,225
Tempo-Class,2,2,259
Tempo,125.00,30,292
Position,48,48,241
Tempo-Class,2,2,259
Tempo,130.00,32,294
Position,59,59,252
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,130.00,32,294
Chord-Tone,D,2,324
Chord-Type,-,None,354
Chord-Slash,D,2,336
Position,16,16,209
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,20,20,213
Note-Velocity,15,15,143
Note-On,67,67,67
Note-Duration,3,3,162
Position,26,26,219
Note-Velocity,20,20,148
Note-On,69,69,69
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,2,2,259
Tempo,120.00,28,290
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,34,34,227
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,7,7,166
Position,42,42,235
Note-Velocity,24,24,152
Note-On,76,76,76
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,50,50,243
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,2,2,195
Note-Velocity,15,15,143
Note-On,72,72,72
Note-Duration,6,6,165
Position,9,9,202
Note-Velocity,24,24,152
Note-On,76,76,76
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,32,32,225
Tempo-Class,2,2,259
Tempo,122.50,29,291
Position,34,34,227
Note-Velocity,20,20,148
Note-On,72,72,72
Note-Duration,10,10,169
Position,48,48,241
Tempo-Class,2,2,259
Tempo,115.00,26,288
Rep-End,1,1,445
Part-End,A,A,434
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
