EVENT,VALUE,VALUE_IDX,ENCODING
Tempo,308.33,59,321
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,A,A,429
Rep-Start,2,2,440
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,285.00,57,319
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,16,16,209
Tempo-Class,4,4,261
Tempo,296.67,58,320
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,48,48,241
Tempo-Class,4,4,261
Tempo,285.00,57,319
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Eb,3,325
Chord-Type,6,None,365
Chord-Slash,Eb,3,337
Position,8,8,201
Note-Velocity,22,22,150
Note-On,86,86,86
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,23,23,216
MLU-Type,line,0,398
MLU-Subtype,t,0,410
Note-Velocity,25,25,153
Note-On,85,85,85
Note-Duration,7,7,166
Position,31,31,224
Note-Velocity,24,24,152
Note-On,84,84,84
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,4,4,261
Tempo,285.00,57,319
Chord-Tone,Gb,6,328
Chord-Type,o,None,387
Chord-Slash,Gb,6,340
Position,40,40,233
Note-Velocity,24,24,152
Note-On,83,83,83
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Note-Velocity,24,24,152
Note-On,82,82,82
Note-Duration,6,6,165
Position,55,55,248
Note-Velocity,24,24,152
Note-On,81,81,81
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,F,5,327
Chord-Type,-,None,354
Chord-Slash,F,5,339
Note-Velocity,22,22,150
Note-On,80,80,80
Note-Duration,8,8,167
Position,7,7,200
Note-Velocity,18,18,146
Note-On,79,79,79
Note-Duration,7,7,166
Position,15,15,208
Note-Velocity,22,22,150
Note-On,78,78,78
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,285.00,57,319
Position,24,24,217
Note-Velocity,20,20,148
Note-On,77,77,77
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Note-Velocity,23,23,151
Note-On,76,76,76
Note-Duration,6,6,165
Position,38,38,231
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,5,5,164
Position,44,44,237
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,10,10,169
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,54,54,247
Note-Velocity,25,25,153
Note-On,73,73,73
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,296.67,58,320
Chord-Tone,F,5,327
Chord-Type,-6,None,355
Chord-Slash,F,5,339
Note-Velocity,20,20,148
Note-On,72,72,72
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,4,4,261
Tempo,285.00,57,319
Position,21,21,214
Note-Velocity,25,25,153
Note-On,82,82,82
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Gb,6,328
Chord-Type,o,None,387
Chord-Slash,Gb,6,340
Position,48,48,241
Tempo-Class,4,4,261
Tempo,285.00,57,319
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,285.00,57,319
Chord-Tone,F,5,327
Chord-Type,-,None,354
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,23,23,216
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,17,17,145
Note-On,68,68,68
Note-Duration,7,7,166
Position,31,31,224
Note-Velocity,27,27,155
Note-On,73,73,73
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,38,38,231
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,7,7,166
Position,47,47,240
Note-Velocity,23,23,151
Note-On,77,77,77
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,55,55,248
Note-Velocity,22,22,150
Note-On,74,74,74
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,F,5,327
Chord-Type,-6,None,355
Chord-Slash,F,5,339
Note-Velocity,21,21,149
Note-On,77,77,77
Note-Duration,7,7,166
Position,6,6,199
Note-Velocity,19,19,147
Note-On,74,74,74
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,296.67,58,320
Note-Velocity,19,19,147
Note-On,77,77,77
Note-Duration,5,5,164
Position,22,22,215
Note-Velocity,17,17,145
Note-On,79,79,79
Note-Duration,7,7,166
Position,30,30,223
Note-Velocity,20,20,148
Note-On,79,79,79
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,38,38,231
Note-Velocity,20,20,148
Note-On,77,77,77
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,4,4,261
Tempo,296.67,58,320
Note-Velocity,22,22,150
Note-On,74,74,74
Note-Duration,7,7,166
Position,55,55,248
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,1,1,194
Note-Velocity,18,18,146
Note-On,75,75,75
Note-Duration,11,11,170
Position,16,16,209
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,20,20,213
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,5,5,164
Position,27,27,220
Note-Velocity,18,18,146
Note-On,67,67,67
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,4,4,261
Tempo,296.67,58,320
Chord-Tone,Bb,10,332
Chord-Type,m7b5,None,386
Chord-Slash,Bb,10,344
Position,33,33,226
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,6,6,165
Position,40,40,233
Note-Velocity,24,24,152
Note-On,72,72,72
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Note-Velocity,22,22,150
Note-On,75,75,75
Note-Duration,7,7,166
Position,56,56,249
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,8,8,167
Position,9,9,202
Note-Velocity,22,22,150
Note-On,80,80,80
Note-Duration,5,5,164
Position,15,15,208
Note-Velocity,22,22,150
Note-On,81,81,81
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,24,24,217
Note-Velocity,23,23,151
Note-On,82,82,82
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,33,33,226
Note-Velocity,20,20,148
Note-On,79,79,79
Note-Duration,12,12,171
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,49,49,242
Note-Velocity,17,17,145
Note-On,78,78,78
Note-Duration,15,15,174
Rep-End,2,2,446
Part-End,A,A,434
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,296.67,58,320
Position,16,16,209
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,32,32,225
Tempo-Class,4,4,261
Tempo,308.33,59,321
Position,48,48,241
Tempo-Class,4,4,261
Tempo,308.33,59,321
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,308.33,59,321
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,16,16,209
Tempo-Class,4,4,261
Tempo,296.67,58,320
Position,32,32,225
Tempo-Class,4,4,261
Tempo,296.67,58,320
Rep-End,1,1,445
Part-End,I,I,438
