EVENT,VALUE,VALUE_IDX,ENCODING
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,28,28,221
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,51,51,244
Note-Velocity,20,20,148
Note-On,59,59,59
Note-Duration,8,8,167
Position,60,60,253
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Phrase,0,0,393
MLU-Type,melody,0,399
Backref-Distance,1,1,418
Note-Velocity,22,22,150
Note-On,52,52,52
Note-Duration,15,15,174
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Note-Velocity,20,20,148
Note-On,53,53,53
Note-Duration,9,9,168
Position,47,47,240
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,54,54,247
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,4,4,163
Position,59,59,252
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,11,11,170
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,23,23,216
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,24,24,183
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,G,7,329
Chord-Type,,None,346
Chord-Slash,G,7,341
Position,3,3,196
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,15,15,174
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,19,19,212
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,12,12,171
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Note-Velocity,23,23,151
Note-On,61,61,61
Note-Duration,9,9,168
Position,42,42,235
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,54,54,247
Note-Velocity,22,22,150
Note-On,66,66,66
Note-Duration,29,29,188
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,G,7,329
Chord-Type,,None,346
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,18,18,211
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,26,26,185
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,A,9,331
Chord-Type,-,None,354
Chord-Slash,A,9,343
Position,1,1,194
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,8,8,167
Position,11,11,204
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,27,27,220
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,13,13,172
Position,32,32,225
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,45,45,238
Note-Velocity,21,21,149
Note-On,52,52,52
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Note-Velocity,21,21,149
Note-On,59,59,59
Note-Duration,17,17,176
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,23,23,216
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,27,27,186
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,28,28,187
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,45,45,238
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,54,54,247
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,B,B,430
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,1,1,194
Phrase,0,0,393
MLU-Type,theme,0,401
Backref-Referred,0,0,417
Note-Velocity,19,19,147
Note-On,52,52,52
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,17,17,210
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,13,13,172
Position,31,31,224
Note-Velocity,25,25,153
Note-On,54,54,54
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,41,41,234
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,10,10,169
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,58,58,251
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,A,9,331
Chord-Type,7,None,368
Chord-Slash,A,9,343
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,33,33,226
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,14,14,173
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,57,57,250
Note-Velocity,22,22,150
Note-On,56,56,56
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,1,1,194
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,32,32,191
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,D,2,324
Chord-Type,-6,None,355
Chord-Slash,D,2,336
Position,2,2,195
Phrase,0,0,393
MLU-Type,melody,0,399
Backref-Distance,1,1,418
Note-Velocity,17,17,145
Note-On,53,53,53
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,17,17,210
Note-Velocity,20,20,148
Note-On,54,54,54
Note-Duration,14,14,173
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,33,33,226
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,7,7,166
Position,41,41,234
Note-Velocity,22,22,150
Note-On,56,56,56
Note-Duration,13,13,172
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,58,58,251
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,E,4,326
Chord-Type,7,None,368
Chord-Slash,E,4,338
Position,6,6,199
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,16,16,175
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,23,23,216
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,17,17,176
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,6,6,165
Position,56,56,249
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,A,9,331
Chord-Type,-,None,354
Chord-Slash,A,9,343
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Position,1,1,194
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,4,4,163
Position,15,15,208
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,30,30,223
Note-Velocity,21,21,149
Note-On,64,64,64
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,9,9,168
Position,10,10,203
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Note-Velocity,19,19,147
Note-On,64,64,64
Note-Duration,6,6,165
Position,25,25,218
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,20,20,179
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,14,14,207
Note-Velocity,22,22,150
Note-On,59,59,59
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,29,29,222
Note-Velocity,24,24,152
Note-On,57,57,57
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,41,41,234
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,16,16,175
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,A,9,331
Chord-Type,7,None,368
Chord-Slash,A,9,343
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,12,12,171
Position,15,15,208
Note-Velocity,21,21,149
Note-On,57,57,57
Note-Duration,11,11,170
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,28,28,221
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,16,16,175
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,226.67,52,314
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,1,1,194
Phrase,0,0,393
MLU-Type,theme,0,401
Note-Velocity,20,20,148
Note-On,52,52,52
Note-Duration,12,12,171
Position,15,15,208
Note-Velocity,25,25,153
Note-On,53,53,53
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,31,31,224
Note-Velocity,24,24,152
Note-On,54,54,54
Note-Duration,11,11,170
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,42,42,235
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,10,10,169
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,56,56,249
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,31,31,224
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,23,23,182
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,56,56,249
Note-Velocity,16,16,144
Note-On,60,60,60
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,250.00,54,316
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,8,8,201
MLU-Type,line,0,398
MLU-Subtype,d,0,408
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,17,17,210
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,8,8,167
Position,25,25,218
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,4,4,261
Tempo,203.33,50,312
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,6,6,165
Position,39,39,232
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,203.33,50,312
Note-Velocity,23,23,151
Note-On,52,52,52
Note-Duration,4,4,163
Position,54,54,247
Note-Velocity,17,17,145
Note-On,50,50,50
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,203.33,50,312
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Note-Velocity,21,21,149
Note-On,48,48,48
Note-Duration,16,16,175
Position,16,16,209
Tempo-Class,4,4,261
Tempo,203.33,50,312
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Rep-End,1,1,445
Part-End,B,B,435
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,226.67,52,314
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
